PhysicalActivity5OrMoreDays,activity_days,QN80_group,BMIPCT
4.0,3.0,Did not meet recommendation,95.41000401
1.0,0.0,Did not meet recommendation,96.75003092
2.0,1.0,Did not meet recommendation,70.57774417
2.0,1.0,Did not meet recommendation,72.08322728
1.0,0.0,Did not meet recommendation,99.66678625
8.0,7.0,Met recommendation,71.7892736
2.0,1.0,Did not meet recommendation,98.09399692
6.0,5.0,Met recommendation,74.45590053
6.0,5.0,Met recommendation,60.66321529
2.0,1.0,Did not meet recommendation,93.82384404
6.0,5.0,Met recommendation,80.83682069
3.0,2.0,Did not meet recommendation,44.29519256
2.0,1.0,Did not meet recommendation,90.86753501
8.0,7.0,Met recommendation,56.10159588
1.0,0.0,Did not meet recommendation,42.06368238
1.0,0.0,Did not meet recommendation,80.06893476
5.0,4.0,Did not meet recommendation,97.32805378
1.0,0.0,Did not meet recommendation,14.41009254
1.0,0.0,Did not meet recommendation,84.80186567
1.0,0.0,Did not meet recommendation,62.03042194
6.0,5.0,Met recommendation,59.76694736
5.0,4.0,Did not meet recommendation,88.10799552
2.0,1.0,Did not meet recommendation,56.63986085
5.0,4.0,Did not meet recommendation,13.85179948
1.0,0.0,Did not meet recommendation,36.68936176
3.0,2.0,Did not meet recommendation,87.97784219
2.0,1.0,Did not meet recommendation,94.5410663
3.0,2.0,Did not meet recommendation,88.10799552
1.0,0.0,Did not meet recommendation,59.93830272
1.0,0.0,Did not meet recommendation,98.04103299
6.0,5.0,Met recommendation,71.15953
1.0,0.0,Did not meet recommendation,45.71374899
4.0,3.0,Did not meet recommendation,47.22319469
1.0,0.0,Did not meet recommendation,94.9204042
4.0,3.0,Did not meet recommendation,99.33260638
1.0,0.0,Did not meet recommendation,87.0393965
4.0,3.0,Did not meet recommendation,76.32444601
8.0,7.0,Met recommendation,86.74519316
6.0,5.0,Met recommendation,74.65464156
1.0,0.0,Did not meet recommendation,68.73980755
4.0,3.0,Did not meet recommendation,16.84718793
8.0,7.0,Met recommendation,43.7908813
6.0,5.0,Met recommendation,74.63209612
4.0,3.0,Did not meet recommendation,71.52922262
1.0,0.0,Did not meet recommendation,97.65533802
6.0,5.0,Met recommendation,98.48738358
2.0,1.0,Did not meet recommendation,68.71207628
6.0,5.0,Met recommendation,98.95895127
2.0,1.0,Did not meet recommendation,86.202343
8.0,7.0,Met recommendation,91.57529725
3.0,2.0,Did not meet recommendation,63.88776352
5.0,4.0,Did not meet recommendation,67.85584641
3.0,2.0,Did not meet recommendation,85.03453453
1.0,0.0,Did not meet recommendation,95.40360784
1.0,0.0,Did not meet recommendation,83.07923933
4.0,3.0,Did not meet recommendation,17.53146859
8.0,7.0,Met recommendation,71.51246478
8.0,7.0,Met recommendation,88.16756815
6.0,5.0,Met recommendation,93.58318047
1.0,0.0,Did not meet recommendation,79.88256321
6.0,5.0,Met recommendation,99.29030394
5.0,4.0,Did not meet recommendation,78.86564821
1.0,0.0,Did not meet recommendation,64.74907315
1.0,0.0,Did not meet recommendation,91.23362001
1.0,0.0,Did not meet recommendation,92.84085921
3.0,2.0,Did not meet recommendation,99.07598878
1.0,0.0,Did not meet recommendation,91.02982073
6.0,5.0,Met recommendation,57.0210877
1.0,0.0,Did not meet recommendation,89.17048644
2.0,1.0,Did not meet recommendation,91.45626301
2.0,1.0,Did not meet recommendation,99.10961911
1.0,0.0,Did not meet recommendation,62.45929785
1.0,0.0,Did not meet recommendation,94.1589128
4.0,3.0,Did not meet recommendation,67.33594521
1.0,0.0,Did not meet recommendation,66.5318241
5.0,4.0,Did not meet recommendation,34.47387616
5.0,4.0,Did not meet recommendation,90.45285503
1.0,0.0,Did not meet recommendation,91.63970234
8.0,7.0,Met recommendation,38.62086644
3.0,2.0,Did not meet recommendation,23.10048656
6.0,5.0,Met recommendation,50.50283383
3.0,2.0,Did not meet recommendation,43.75638371
2.0,1.0,Did not meet recommendation,93.19045496
1.0,0.0,Did not meet recommendation,70.73919153
1.0,0.0,Did not meet recommendation,76.04241089
1.0,0.0,Did not meet recommendation,97.29153341
3.0,2.0,Did not meet recommendation,87.80684545
4.0,3.0,Did not meet recommendation,96.38472826
1.0,0.0,Did not meet recommendation,82.00000858
1.0,0.0,Did not meet recommendation,57.95910476
1.0,0.0,Did not meet recommendation,57.62712177
5.0,4.0,Did not meet recommendation,93.13918876
3.0,2.0,Did not meet recommendation,24.47152508
1.0,0.0,Did not meet recommendation,99.04348497
8.0,7.0,Met recommendation,97.9086358
8.0,7.0,Met recommendation,55.7534678
8.0,7.0,Met recommendation,84.41178425
1.0,0.0,Did not meet recommendation,99.28284017
1.0,0.0,Did not meet recommendation,62.39033084
4.0,3.0,Did not meet recommendation,87.16521278
3.0,2.0,Did not meet recommendation,53.02162601
4.0,3.0,Did not meet recommendation,71.87126497
1.0,0.0,Did not meet recommendation,66.16040353
1.0,0.0,Did not meet recommendation,37.9713165
6.0,5.0,Met recommendation,85.02793323
3.0,2.0,Did not meet recommendation,30.30875579
1.0,0.0,Did not meet recommendation,74.34578782
2.0,1.0,Did not meet recommendation,27.97089061
8.0,7.0,Met recommendation,79.16293108
5.0,4.0,Did not meet recommendation,67.16680562
1.0,0.0,Did not meet recommendation,94.68772468
1.0,0.0,Did not meet recommendation,31.95457566
4.0,3.0,Did not meet recommendation,97.77125198
1.0,0.0,Did not meet recommendation,95.15545676
7.0,6.0,Met recommendation,77.39416894
3.0,2.0,Did not meet recommendation,86.48349966
5.0,4.0,Did not meet recommendation,99.37568867
2.0,1.0,Did not meet recommendation,98.67150455
8.0,7.0,Met recommendation,73.9888078
8.0,7.0,Met recommendation,30.54443285
2.0,1.0,Did not meet recommendation,84.15375532
8.0,7.0,Met recommendation,36.8619196
5.0,4.0,Did not meet recommendation,89.35020935
5.0,4.0,Did not meet recommendation,40.28123287
8.0,7.0,Met recommendation,63.67531538
8.0,7.0,Met recommendation,99.39691176
1.0,0.0,Did not meet recommendation,1.438001467
8.0,7.0,Met recommendation,52.08583923
6.0,5.0,Met recommendation,95.52931923
6.0,5.0,Met recommendation,62.76351399
8.0,7.0,Met recommendation,38.53470375
2.0,1.0,Did not meet recommendation,39.11861889
6.0,5.0,Met recommendation,87.98815832
6.0,5.0,Met recommendation,68.32942299
3.0,2.0,Did not meet recommendation,93.13918876
1.0,0.0,Did not meet recommendation,16.31431911
3.0,2.0,Did not meet recommendation,98.88433472
5.0,4.0,Did not meet recommendation,56.79061795
6.0,5.0,Met recommendation,16.07018104
5.0,4.0,Did not meet recommendation,63.18457667
1.0,0.0,Did not meet recommendation,85.86746891
1.0,0.0,Did not meet recommendation,67.50042545
1.0,0.0,Did not meet recommendation,56.22159575
1.0,0.0,Did not meet recommendation,93.80678317
4.0,3.0,Did not meet recommendation,15.53240804
1.0,0.0,Did not meet recommendation,87.10333515
6.0,5.0,Met recommendation,74.63209612
8.0,7.0,Met recommendation,63.00335407
4.0,3.0,Did not meet recommendation,45.71292164
4.0,3.0,Did not meet recommendation,45.57785392
2.0,1.0,Did not meet recommendation,96.13778319
8.0,7.0,Met recommendation,95.94325967
5.0,4.0,Did not meet recommendation,71.4546828
5.0,4.0,Did not meet recommendation,72.13833601
8.0,7.0,Met recommendation,60.9709885
5.0,4.0,Did not meet recommendation,77.28691174
7.0,6.0,Met recommendation,98.2720773
8.0,7.0,Met recommendation,99.68296497
1.0,0.0,Did not meet recommendation,90.94397595
4.0,3.0,Did not meet recommendation,98.99548699
8.0,7.0,Met recommendation,22.48260014
7.0,6.0,Met recommendation,98.35326325
6.0,5.0,Met recommendation,56.26811413
6.0,5.0,Met recommendation,58.93820481
8.0,7.0,Met recommendation,98.53012868
1.0,0.0,Did not meet recommendation,98.98438473
2.0,1.0,Did not meet recommendation,97.44355561
2.0,1.0,Did not meet recommendation,85.8509833
6.0,5.0,Met recommendation,99.12757979
1.0,0.0,Did not meet recommendation,87.25039898
1.0,0.0,Did not meet recommendation,81.39556377
1.0,0.0,Did not meet recommendation,70.67451976
5.0,4.0,Did not meet recommendation,95.74665373
4.0,3.0,Did not meet recommendation,8.956686291
3.0,2.0,Did not meet recommendation,96.07162084
5.0,4.0,Did not meet recommendation,96.86925218
8.0,7.0,Met recommendation,97.07114887
5.0,4.0,Did not meet recommendation,73.28198884
6.0,5.0,Met recommendation,61.87699019
6.0,5.0,Met recommendation,53.24794021
3.0,2.0,Did not meet recommendation,98.94587359
6.0,5.0,Met recommendation,97.07114887
5.0,4.0,Did not meet recommendation,98.04942886
8.0,7.0,Met recommendation,78.01416162
8.0,7.0,Met recommendation,54.93952038
4.0,3.0,Did not meet recommendation,96.14136409
4.0,3.0,Did not meet recommendation,97.27674042
1.0,0.0,Did not meet recommendation,98.48506184
1.0,0.0,Did not meet recommendation,61.87699019
4.0,3.0,Did not meet recommendation,84.2338361
6.0,5.0,Met recommendation,90.23404612
1.0,0.0,Did not meet recommendation,30.29781056
2.0,1.0,Did not meet recommendation,54.82320838
2.0,1.0,Did not meet recommendation,51.62074
1.0,0.0,Did not meet recommendation,72.79561651
1.0,0.0,Did not meet recommendation,95.63240476
1.0,0.0,Did not meet recommendation,90.05670299
1.0,0.0,Did not meet recommendation,94.34383228
2.0,1.0,Did not meet recommendation,21.293857
3.0,2.0,Did not meet recommendation,47.25298589
3.0,2.0,Did not meet recommendation,82.389679
8.0,7.0,Met recommendation,76.08348266
8.0,7.0,Met recommendation,55.79291405
1.0,0.0,Did not meet recommendation,97.95302101
1.0,0.0,Did not meet recommendation,92.1853654
7.0,6.0,Met recommendation,69.86952348
6.0,5.0,Met recommendation,92.48425568
8.0,7.0,Met recommendation,87.63003201
6.0,5.0,Met recommendation,80.08049978
6.0,5.0,Met recommendation,69.82409651
6.0,5.0,Met recommendation,68.17962468
3.0,2.0,Did not meet recommendation,76.51833401
3.0,2.0,Did not meet recommendation,94.62206272
8.0,7.0,Met recommendation,89.08334673
1.0,0.0,Did not meet recommendation,96.61522754
7.0,6.0,Met recommendation,53.80555731
4.0,3.0,Did not meet recommendation,53.91201918
8.0,7.0,Met recommendation,82.389679
8.0,7.0,Met recommendation,35.33010211
7.0,6.0,Met recommendation,37.18895874
1.0,0.0,Did not meet recommendation,73.65945206
2.0,1.0,Did not meet recommendation,84.28101485
3.0,2.0,Did not meet recommendation,32.3855029
1.0,0.0,Did not meet recommendation,67.15623216
4.0,3.0,Did not meet recommendation,62.8321027
1.0,0.0,Did not meet recommendation,61.78523973
2.0,1.0,Did not meet recommendation,99.42936535
8.0,7.0,Met recommendation,83.06982867
1.0,0.0,Did not meet recommendation,23.7023249
1.0,0.0,Did not meet recommendation,30.29781056
5.0,4.0,Did not meet recommendation,78.97182509
2.0,1.0,Did not meet recommendation,96.78373453
8.0,7.0,Met recommendation,97.25191593
8.0,7.0,Met recommendation,94.81674506
3.0,2.0,Did not meet recommendation,73.79952113
1.0,0.0,Did not meet recommendation,19.43625279
6.0,5.0,Met recommendation,97.64942959
4.0,3.0,Did not meet recommendation,76.08348266
3.0,2.0,Did not meet recommendation,29.08833714
1.0,0.0,Did not meet recommendation,99.74719971
1.0,0.0,Did not meet recommendation,56.04225389
8.0,7.0,Met recommendation,98.04103299
7.0,6.0,Met recommendation,47.28464354
2.0,1.0,Did not meet recommendation,96.4728734
5.0,4.0,Did not meet recommendation,95.23595706
5.0,4.0,Did not meet recommendation,83.68644276
1.0,0.0,Did not meet recommendation,94.14135345
3.0,2.0,Did not meet recommendation,79.94873312
6.0,5.0,Met recommendation,43.90392845
4.0,3.0,Did not meet recommendation,98.75455222
3.0,2.0,Did not meet recommendation,98.12733239
1.0,0.0,Did not meet recommendation,78.31747374
6.0,5.0,Met recommendation,55.56148302
8.0,7.0,Met recommendation,31.07979211
4.0,3.0,Did not meet recommendation,98.39202929
1.0,0.0,Did not meet recommendation,97.56644906
2.0,1.0,Did not meet recommendation,39.89788004
1.0,0.0,Did not meet recommendation,91.20841611
1.0,0.0,Did not meet recommendation,93.80678317
1.0,0.0,Did not meet recommendation,95.73866916
1.0,0.0,Did not meet recommendation,24.29534301
7.0,6.0,Met recommendation,45.4519563
4.0,3.0,Did not meet recommendation,95.53715522
5.0,4.0,Did not meet recommendation,3.432214456
5.0,4.0,Did not meet recommendation,60.9709885
3.0,2.0,Did not meet recommendation,94.18182268
3.0,2.0,Did not meet recommendation,25.66497134
1.0,0.0,Did not meet recommendation,97.59846228
1.0,0.0,Did not meet recommendation,35.68385606
2.0,1.0,Did not meet recommendation,87.98815832
7.0,6.0,Met recommendation,77.27245919
5.0,4.0,Did not meet recommendation,68.17962468
8.0,7.0,Met recommendation,87.27836214
4.0,3.0,Did not meet recommendation,94.89706786
1.0,0.0,Did not meet recommendation,87.19251087
1.0,0.0,Did not meet recommendation,94.10176513
6.0,5.0,Met recommendation,62.69465422
5.0,4.0,Did not meet recommendation,38.18531901
4.0,3.0,Did not meet recommendation,90.44273214
6.0,5.0,Met recommendation,83.90474553
6.0,5.0,Met recommendation,97.83663541
1.0,0.0,Did not meet recommendation,99.92076134
5.0,4.0,Did not meet recommendation,39.55289509
3.0,2.0,Did not meet recommendation,97.84676339
1.0,0.0,Did not meet recommendation,65.99443629
1.0,0.0,Did not meet recommendation,99.71427827
1.0,0.0,Did not meet recommendation,94.37294768
1.0,0.0,Did not meet recommendation,75.83754765
2.0,1.0,Did not meet recommendation,71.14471031
2.0,1.0,Did not meet recommendation,81.02041569
1.0,0.0,Did not meet recommendation,97.8857456
8.0,7.0,Met recommendation,49.63757589
8.0,7.0,Met recommendation,62.14066414
4.0,3.0,Did not meet recommendation,64.9623322
8.0,7.0,Met recommendation,42.05103451
4.0,3.0,Did not meet recommendation,89.9964869
6.0,5.0,Met recommendation,74.69115727
3.0,2.0,Did not meet recommendation,92.68923451
3.0,2.0,Did not meet recommendation,21.64394878
8.0,7.0,Met recommendation,97.82278208
8.0,7.0,Met recommendation,94.05766279
3.0,2.0,Did not meet recommendation,92.39337265
3.0,2.0,Did not meet recommendation,99.5163667
2.0,1.0,Did not meet recommendation,64.31389023
1.0,0.0,Did not meet recommendation,12.35928755
1.0,0.0,Did not meet recommendation,98.63472561
8.0,7.0,Met recommendation,56.72430248
1.0,0.0,Did not meet recommendation,94.10763278
3.0,2.0,Did not meet recommendation,99.10475165
3.0,2.0,Did not meet recommendation,99.39611272
5.0,4.0,Did not meet recommendation,79.93438595
1.0,0.0,Did not meet recommendation,42.05103451
1.0,0.0,Did not meet recommendation,3.961497341
7.0,6.0,Met recommendation,51.57969595
4.0,3.0,Did not meet recommendation,95.61401865
6.0,5.0,Met recommendation,98.46138653
1.0,0.0,Did not meet recommendation,98.73671107
1.0,0.0,Did not meet recommendation,20.6252806
1.0,0.0,Did not meet recommendation,46.75078327
4.0,3.0,Did not meet recommendation,14.92817015
8.0,7.0,Met recommendation,89.58309072
1.0,0.0,Did not meet recommendation,96.78605651
1.0,0.0,Did not meet recommendation,69.83564514
8.0,7.0,Met recommendation,59.36187206
8.0,7.0,Met recommendation,62.71354329
8.0,7.0,Met recommendation,87.44951172
6.0,5.0,Met recommendation,23.10048656
2.0,1.0,Did not meet recommendation,77.20364961
1.0,0.0,Did not meet recommendation,89.49035517
2.0,1.0,Did not meet recommendation,34.47387616
4.0,3.0,Did not meet recommendation,7.756995566
5.0,4.0,Did not meet recommendation,47.08338833
6.0,5.0,Met recommendation,73.74393215
4.0,3.0,Did not meet recommendation,99.17877015
4.0,3.0,Did not meet recommendation,26.55798646
1.0,0.0,Did not meet recommendation,83.28297774
7.0,6.0,Met recommendation,79.37279924
6.0,5.0,Met recommendation,68.21013236
6.0,5.0,Met recommendation,39.62479013
4.0,3.0,Did not meet recommendation,23.38379549
1.0,0.0,Did not meet recommendation,59.20436934
1.0,0.0,Did not meet recommendation,61.69382467
5.0,4.0,Did not meet recommendation,96.42850179
2.0,1.0,Did not meet recommendation,16.31431911
4.0,3.0,Did not meet recommendation,14.85540624
8.0,7.0,Met recommendation,43.63390292
2.0,1.0,Did not meet recommendation,45.87527465
7.0,6.0,Met recommendation,53.65951294
2.0,1.0,Did not meet recommendation,89.7600136
3.0,2.0,Did not meet recommendation,54.82320838
6.0,5.0,Met recommendation,52.55947074
5.0,4.0,Did not meet recommendation,2.538634989
6.0,5.0,Met recommendation,77.74149951
1.0,0.0,Did not meet recommendation,77.80336579
5.0,4.0,Did not meet recommendation,63.79345154
2.0,1.0,Did not meet recommendation,51.99882236
8.0,7.0,Met recommendation,79.93333423
5.0,4.0,Did not meet recommendation,89.61556172
8.0,7.0,Met recommendation,95.7219043
8.0,7.0,Met recommendation,67.66135662
8.0,7.0,Met recommendation,75.23984427
5.0,4.0,Did not meet recommendation,74.10960037
5.0,4.0,Did not meet recommendation,67.02760826
8.0,7.0,Met recommendation,58.74510972
1.0,0.0,Did not meet recommendation,47.22319469
2.0,1.0,Did not meet recommendation,73.05961868
7.0,6.0,Met recommendation,53.55741993
2.0,1.0,Did not meet recommendation,25.54426508
8.0,7.0,Met recommendation,93.79838032
1.0,0.0,Did not meet recommendation,82.9105435
8.0,7.0,Met recommendation,90.51467987
1.0,0.0,Did not meet recommendation,0.429815789
3.0,2.0,Did not meet recommendation,6.476856891
1.0,0.0,Did not meet recommendation,1.003604688
3.0,2.0,Did not meet recommendation,96.85537184
3.0,2.0,Did not meet recommendation,92.63103874
1.0,0.0,Did not meet recommendation,96.90469009
2.0,1.0,Did not meet recommendation,28.36149003
2.0,1.0,Did not meet recommendation,36.68936176
5.0,4.0,Did not meet recommendation,77.20364961
4.0,3.0,Did not meet recommendation,76.16361312
1.0,0.0,Did not meet recommendation,73.74393215
8.0,7.0,Met recommendation,72.36104809
7.0,6.0,Met recommendation,21.25383112
6.0,5.0,Met recommendation,84.10727673
5.0,4.0,Did not meet recommendation,61.12521977
6.0,5.0,Met recommendation,99.59802359
1.0,0.0,Did not meet recommendation,98.86366606
6.0,5.0,Met recommendation,99.31641219
1.0,0.0,Did not meet recommendation,85.01319145
1.0,0.0,Did not meet recommendation,81.30024456
2.0,1.0,Did not meet recommendation,89.98187058
6.0,5.0,Met recommendation,88.95240548
1.0,0.0,Did not meet recommendation,98.60574303
1.0,0.0,Did not meet recommendation,28.91092809
3.0,2.0,Did not meet recommendation,87.36397116
1.0,0.0,Did not meet recommendation,57.76940034
7.0,6.0,Met recommendation,6.655533385
6.0,5.0,Met recommendation,73.29906006
3.0,2.0,Did not meet recommendation,91.84706392
8.0,7.0,Met recommendation,71.88886111
6.0,5.0,Met recommendation,95.15268037
1.0,0.0,Did not meet recommendation,82.1545869
4.0,3.0,Did not meet recommendation,46.5812907
6.0,5.0,Met recommendation,88.37612136
4.0,3.0,Did not meet recommendation,47.28464354
8.0,7.0,Met recommendation,2.885912336
8.0,7.0,Met recommendation,88.71386904
2.0,1.0,Did not meet recommendation,99.23039212
7.0,6.0,Met recommendation,60.43019257
8.0,7.0,Met recommendation,21.37082787
2.0,1.0,Did not meet recommendation,97.01886642
8.0,7.0,Met recommendation,77.86602504
1.0,0.0,Did not meet recommendation,48.21839695
8.0,7.0,Met recommendation,94.20247675
1.0,0.0,Did not meet recommendation,90.27931362
1.0,0.0,Did not meet recommendation,58.69524984
1.0,0.0,Did not meet recommendation,79.48695243
6.0,5.0,Met recommendation,23.83152556
6.0,5.0,Met recommendation,72.16135334
1.0,0.0,Did not meet recommendation,97.91385948
8.0,7.0,Met recommendation,40.07525181
1.0,0.0,Did not meet recommendation,98.27574094
5.0,4.0,Did not meet recommendation,40.07525181
1.0,0.0,Did not meet recommendation,75.744874
5.0,4.0,Did not meet recommendation,33.79539728
1.0,0.0,Did not meet recommendation,57.52992298
8.0,7.0,Met recommendation,24.7571985
2.0,1.0,Did not meet recommendation,44.33467794
1.0,0.0,Did not meet recommendation,13.85179948
1.0,0.0,Did not meet recommendation,52.85458427
4.0,3.0,Did not meet recommendation,90.63852931
8.0,7.0,Met recommendation,86.79121692
3.0,2.0,Did not meet recommendation,92.66928372
8.0,7.0,Met recommendation,98.0160854
8.0,7.0,Met recommendation,75.35975743
4.0,3.0,Did not meet recommendation,26.68936925
1.0,0.0,Did not meet recommendation,99.45271084
1.0,0.0,Did not meet recommendation,81.88920139
4.0,3.0,Did not meet recommendation,88.99955787
6.0,5.0,Met recommendation,93.8171533
3.0,2.0,Did not meet recommendation,61.11298954
4.0,3.0,Did not meet recommendation,74.25962481
2.0,1.0,Did not meet recommendation,44.29519256
3.0,2.0,Did not meet recommendation,62.95970228
3.0,2.0,Did not meet recommendation,67.48018081
1.0,0.0,Did not meet recommendation,97.9910206
1.0,0.0,Did not meet recommendation,88.70232652
1.0,0.0,Did not meet recommendation,98.90478197
5.0,4.0,Did not meet recommendation,80.35885458
2.0,1.0,Did not meet recommendation,19.34593133
1.0,0.0,Did not meet recommendation,64.47468905
6.0,5.0,Met recommendation,64.30723303
1.0,0.0,Did not meet recommendation,87.53749489
7.0,6.0,Met recommendation,28.91092809
4.0,3.0,Did not meet recommendation,31.7119088
8.0,7.0,Met recommendation,58.69524984
7.0,6.0,Met recommendation,90.63414561
2.0,1.0,Did not meet recommendation,83.98189668
7.0,6.0,Met recommendation,56.12875598
2.0,1.0,Did not meet recommendation,49.88343043
3.0,2.0,Did not meet recommendation,72.60095123
8.0,7.0,Met recommendation,19.86901809
8.0,7.0,Met recommendation,81.3947164
8.0,7.0,Met recommendation,27.64092077
8.0,7.0,Met recommendation,13.74578822
1.0,0.0,Did not meet recommendation,10.0980018
5.0,4.0,Did not meet recommendation,96.57697985
3.0,2.0,Did not meet recommendation,57.01956638
7.0,6.0,Met recommendation,1.215131569
7.0,6.0,Met recommendation,45.44473003
8.0,7.0,Met recommendation,75.11573491
3.0,2.0,Did not meet recommendation,70.14793483
8.0,7.0,Met recommendation,54.17561128
3.0,2.0,Did not meet recommendation,91.3421136
8.0,7.0,Met recommendation,74.72220037
8.0,7.0,Met recommendation,85.29122235
7.0,6.0,Met recommendation,38.01943648
1.0,0.0,Did not meet recommendation,69.5988229
8.0,7.0,Met recommendation,98.38849004
6.0,5.0,Met recommendation,98.88203353
8.0,7.0,Met recommendation,57.7634963
8.0,7.0,Met recommendation,61.71262234
3.0,2.0,Did not meet recommendation,1.198351111
8.0,7.0,Met recommendation,96.10352146
1.0,0.0,Did not meet recommendation,20.98116784
1.0,0.0,Did not meet recommendation,98.46270113
4.0,3.0,Did not meet recommendation,55.56660731
6.0,5.0,Met recommendation,62.48035985
6.0,5.0,Met recommendation,57.42808938
7.0,6.0,Met recommendation,39.92043288
5.0,4.0,Did not meet recommendation,67.4044543
6.0,5.0,Met recommendation,31.37615111
8.0,7.0,Met recommendation,31.07256054
8.0,7.0,Met recommendation,68.50243505
3.0,2.0,Did not meet recommendation,94.89100241
7.0,6.0,Met recommendation,74.74124853
2.0,1.0,Did not meet recommendation,2.116976511
1.0,0.0,Did not meet recommendation,83.32303085
2.0,1.0,Did not meet recommendation,58.2330153
6.0,5.0,Met recommendation,45.42668553
3.0,2.0,Did not meet recommendation,67.16680562
6.0,5.0,Met recommendation,89.52466745
3.0,2.0,Did not meet recommendation,98.32929306
7.0,6.0,Met recommendation,81.31873995
1.0,0.0,Did not meet recommendation,11.0790396
7.0,6.0,Met recommendation,9.548098269
8.0,7.0,Met recommendation,70.63947195
8.0,7.0,Met recommendation,53.91201918
8.0,7.0,Met recommendation,77.86602504
4.0,3.0,Did not meet recommendation,99.32441627
1.0,0.0,Did not meet recommendation,52.7668932
8.0,7.0,Met recommendation,57.42808938
8.0,7.0,Met recommendation,91.78639402
5.0,4.0,Did not meet recommendation,91.84480724
8.0,7.0,Met recommendation,47.49270385
1.0,0.0,Did not meet recommendation,95.34309976
8.0,7.0,Met recommendation,47.49270385
3.0,2.0,Did not meet recommendation,68.13816439
4.0,3.0,Did not meet recommendation,28.59861823
1.0,0.0,Did not meet recommendation,65.99443629
1.0,0.0,Did not meet recommendation,58.15238086
1.0,0.0,Did not meet recommendation,77.19065117
1.0,0.0,Did not meet recommendation,71.891691
6.0,5.0,Met recommendation,84.19561124
1.0,0.0,Did not meet recommendation,98.06192313
2.0,1.0,Did not meet recommendation,11.68740441
1.0,0.0,Did not meet recommendation,90.27931362
3.0,2.0,Did not meet recommendation,56.22904265
3.0,2.0,Did not meet recommendation,84.16819767
6.0,5.0,Met recommendation,19.38451665
8.0,7.0,Met recommendation,99.08162181
1.0,0.0,Did not meet recommendation,90.38448819
6.0,5.0,Met recommendation,97.91385948
8.0,7.0,Met recommendation,96.35684269
4.0,3.0,Did not meet recommendation,24.7571985
6.0,5.0,Met recommendation,31.95457566
3.0,2.0,Did not meet recommendation,58.87622836
1.0,0.0,Did not meet recommendation,0.745559691
1.0,0.0,Did not meet recommendation,79.56062473
8.0,7.0,Met recommendation,99.31045428
5.0,4.0,Did not meet recommendation,74.0489888
2.0,1.0,Did not meet recommendation,83.70656699
8.0,7.0,Met recommendation,25.58313701
7.0,6.0,Met recommendation,63.11263253
8.0,7.0,Met recommendation,94.70694647
8.0,7.0,Met recommendation,50.50283383
8.0,7.0,Met recommendation,19.38451665
1.0,0.0,Did not meet recommendation,87.10946842
1.0,0.0,Did not meet recommendation,96.83911268
1.0,0.0,Did not meet recommendation,98.0718751
8.0,7.0,Met recommendation,82.7114493
1.0,0.0,Did not meet recommendation,93.74616287
1.0,0.0,Did not meet recommendation,87.82388732
1.0,0.0,Did not meet recommendation,74.41879277
1.0,0.0,Did not meet recommendation,89.59113592
3.0,2.0,Did not meet recommendation,91.42274048
2.0,1.0,Did not meet recommendation,87.73497018
1.0,0.0,Did not meet recommendation,41.5155192
1.0,0.0,Did not meet recommendation,74.57239196
1.0,0.0,Did not meet recommendation,36.56155956
1.0,0.0,Did not meet recommendation,81.86351046
3.0,2.0,Did not meet recommendation,93.8107995
5.0,4.0,Did not meet recommendation,66.72581086
3.0,2.0,Did not meet recommendation,18.66682582
3.0,2.0,Did not meet recommendation,22.52975434
7.0,6.0,Met recommendation,93.57527412
1.0,0.0,Did not meet recommendation,52.12369341
8.0,7.0,Met recommendation,61.46573111
7.0,6.0,Met recommendation,41.88017444
3.0,2.0,Did not meet recommendation,13.74578822
8.0,7.0,Met recommendation,33.17546115
6.0,5.0,Met recommendation,47.3616047
2.0,1.0,Did not meet recommendation,96.07552631
6.0,5.0,Met recommendation,99.58480494
3.0,2.0,Did not meet recommendation,98.92238016
3.0,2.0,Did not meet recommendation,99.21772474
1.0,0.0,Did not meet recommendation,70.67451976
1.0,0.0,Did not meet recommendation,91.74867665
8.0,7.0,Met recommendation,66.54550193
6.0,5.0,Met recommendation,84.24782523
6.0,5.0,Met recommendation,95.95266943
1.0,0.0,Did not meet recommendation,7.576915771
5.0,4.0,Did not meet recommendation,72.66703407
4.0,3.0,Did not meet recommendation,92.86925353
8.0,7.0,Met recommendation,57.73493509
4.0,3.0,Did not meet recommendation,48.82355055
6.0,5.0,Met recommendation,54.82320838
2.0,1.0,Did not meet recommendation,99.11999382
4.0,3.0,Did not meet recommendation,51.42956132
1.0,0.0,Did not meet recommendation,87.50167897
6.0,5.0,Met recommendation,82.3894253
6.0,5.0,Met recommendation,30.85649979
8.0,7.0,Met recommendation,88.10213665
8.0,7.0,Met recommendation,34.20904036
5.0,4.0,Did not meet recommendation,12.09755724
6.0,5.0,Met recommendation,9.121137473
2.0,1.0,Did not meet recommendation,95.34311212
1.0,0.0,Did not meet recommendation,87.30229116
8.0,7.0,Met recommendation,96.92930157
8.0,7.0,Met recommendation,63.65662642
1.0,0.0,Did not meet recommendation,59.74232868
8.0,7.0,Met recommendation,61.00492226
1.0,0.0,Did not meet recommendation,12.10731678
1.0,0.0,Did not meet recommendation,38.53470375
4.0,3.0,Did not meet recommendation,84.10727673
6.0,5.0,Met recommendation,50.57461132
4.0,3.0,Did not meet recommendation,50.280802
