QN80_group,n,mean,sd,median,min,max
Did not meet recommendation,8517,65.0955913239692,27.991149988115257,70.79707863,3.72e-09,99.93921341
Met recommendation,4377,64.38286745219625,26.48925365253889,68.85523045,1.93e-07,99.88121871
